timestamp,interface,protocol,src_mac,dst_mac,src_ip,dst_ip,size,summary
2026-04-14T15:27:35.171,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,140.82.113.21,90,TCP 54838 -> 443 flags=PA
2026-04-14T15:27:35.171,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,140.82.113.21,66,TCP 54838 -> 443 flags=FA
2026-04-14T15:27:35.354,wlp60s0,TCP,d4:7f:35:16:e2:9f,a4:6b:b6:3e:c7:5e,140.82.113.21,172.26.22.44,60,TCP 443 -> 54838 flags=R
2026-04-14T15:27:39.456,wlp60s0,TCP,d4:7f:35:16:e2:9f,a4:6b:b6:3e:c7:5e,52.58.20.192,172.26.22.44,108,TCP 443 -> 59690 flags=PA
2026-04-14T15:27:39.456,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,52.58.20.192,66,TCP 59690 -> 443 flags=A
2026-04-14T15:27:39.488,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,52.182.143.210,184,TCP 37732 -> 443 flags=PA
2026-04-14T15:27:39.488,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,52.182.143.210,2542,TCP 37732 -> 443 flags=PA
2026-04-14T15:27:39.488,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,52.182.143.210,2542,TCP 37732 -> 443 flags=PA
2026-04-14T15:27:39.489,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,52.182.143.210,2258,TCP 37732 -> 443 flags=PA
2026-04-14T15:27:39.562,wlp60s0,TCP,d4:7f:35:16:e2:9f,a4:6b:b6:3e:c7:5e,52.58.20.192,172.26.22.44,108,TCP 443 -> 42698 flags=PA
2026-04-14T15:27:39.562,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,52.58.20.192,66,TCP 42698 -> 443 flags=A
2026-04-14T15:27:39.607,wlp60s0,TCP,d4:7f:35:16:e2:9f,a4:6b:b6:3e:c7:5e,52.182.143.210,172.26.22.44,66,TCP 443 -> 37732 flags=A
2026-04-14T15:27:39.607,wlp60s0,TCP,d4:7f:35:16:e2:9f,a4:6b:b6:3e:c7:5e,52.182.143.210,172.26.22.44,66,TCP 443 -> 37732 flags=A
2026-04-14T15:27:39.607,wlp60s0,TCP,d4:7f:35:16:e2:9f,a4:6b:b6:3e:c7:5e,52.182.143.210,172.26.22.44,66,TCP 443 -> 37732 flags=A
2026-04-14T15:27:39.655,wlp60s0,TCP,d4:7f:35:16:e2:9f,a4:6b:b6:3e:c7:5e,52.182.143.210,172.26.22.44,66,TCP 443 -> 37732 flags=A
2026-04-14T15:27:39.680,wlp60s0,TCP,d4:7f:35:16:e2:9f,a4:6b:b6:3e:c7:5e,52.182.143.210,172.26.22.44,165,TCP 443 -> 37732 flags=PA
2026-04-14T15:27:39.682,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,52.182.143.210,101,TCP 37732 -> 443 flags=PA
